iter	Passed	Remaining
0	36	18129
1	72	18013
2	91	15156
3	128	15967
4	144	14305
5	182	15006
6	214	15136
7	247	15203
8	260	14201
9	291	14276
10	324	14412
11	361	14694
12	405	15172
13	449	15619
14	496	16045
15	514	15556
16	546	15535
17	595	15950
18	628	15918
19	661	15867
20	700	15969
21	743	16154
22	792	16443
23	835	16574
24	880	16722
25	911	16621
26	955	16733
27	998	16830
28	1037	16843
29	1064	16681
30	1106	16743
31	1137	16628
32	1179	16691
33	1225	16803
34	1267	16838
35	1303	16799
36	1339	16767
37	1386	16860
38	1433	16946
39	1467	16879
40	1498	16778
41	1531	16701
42	1564	16631
43	1598	16561
44	1635	16534
45	1673	16513
46	1695	16341
47	1732	16314
48	1766	16261
49	1800	16207
50	1838	16187
51	1879	16189
52	1916	16165
53	1954	16145
54	1993	16132
55	2026	16067
56	2062	16032
57	2093	15957
58	2129	15916
59	2175	15951
60	2217	15956
61	2230	15759
62	2271	15754
63	2318	15791
64	2352	15746
65	2389	15712
66	2427	15689
67	2468	15682
68	2515	15715
69	2553	15687
70	2592	15662
71	2635	15668
72	2679	15675
73	2728	15705
74	2765	15673
75	2809	15671
76	2846	15634
77	2877	15568
78	2916	15541
79	2948	15481
80	2975	15390
81	3015	15373
82	3034	15244
83	3078	15244
84	3122	15245
85	3170	15261
86	3212	15248
87	3219	15072
88	3256	15037
89	3299	15029
90	3341	15019
91	3384	15007
92	3426	14996
93	3467	14975
94	3511	14968
95	3556	14965
96	3596	14942
97	3644	14950
98	3688	14938
99	3726	14906
100	3757	14845
101	3799	14825
102	3833	14775
103	3872	14744
104	3908	14704
105	3948	14676
106	3984	14633
107	4018	14586
108	4054	14545
109	4090	14502
110	4129	14472
111	4164	14426
112	4197	14375
113	4230	14324
114	4263	14273
115	4301	14238
116	4329	14172
117	4374	14160
118	4411	14125
119	4455	14108
120	4507	14117
121	4526	14025
122	4561	13982
123	4605	13965
124	4644	13933
125	4690	13921
126	4729	13891
127	4770	13862
128	4806	13822
129	4839	13772
130	4877	13737
131	4910	13690
132	4947	13652
133	4988	13625
134	5026	13589
135	5065	13557
136	5102	13520
137	5140	13484
138	5224	13569
139	5261	13530
140	5296	13486
141	5337	13456
142	5381	13434
143	5427	13417
144	5465	13379
145	5501	13340
146	5547	13322
147	5593	13304
148	5641	13290
149	5688	13273
150	5737	13261
151	5786	13247
152	5839	13244
153	5886	13224
154	5925	13189
155	5965	13154
156	6010	13130
157	6056	13110
158	6101	13085
159	6151	13072
160	6194	13042
161	6235	13010
162	6274	12972
163	6298	12904
164	6337	12868
165	6385	12848
166	6432	12826
167	6474	12794
168	6511	12752
169	6546	12706
170	6585	12669
171	6627	12637
172	6677	12622
173	6718	12587
174	6762	12558
175	6801	12521
176	6843	12487
177	6889	12462
178	6934	12434
179	6970	12392
180	7001	12340
181	7037	12296
182	7078	12261
183	7130	12245
184	7175	12217
185	7230	12205
186	7271	12170
187	7314	12138
188	7358	12108
189	7396	12067
190	7435	12029
191	7476	11994
192	7523	11967
193	7562	11929
194	7599	11887
195	7651	11868
196	7702	11846
197	7748	11818
198	7797	11794
199	7843	11764
200	7890	11737
201	7924	11690
202	7961	11648
203	7996	11602
204	8033	11560
205	8070	11517
206	8112	11482
207	8159	11455
208	8206	11425
209	8255	11401
210	8299	11367
211	8340	11329
212	8387	11301
213	8437	11276
214	8480	11241
215	8520	11202
216	8573	11181
217	8619	11149
218	8653	11103
219	8686	11055
220	8722	11011
221	8760	10969
222	8802	10933
223	8845	10898
224	8880	10854
225	8927	10823
226	8964	10781
227	9005	10743
228	9046	10705
229	9089	10669
230	9151	10656
231	9194	10620
232	9232	10579
233	9275	10543
234	9316	10505
235	9354	10464
236	9393	10424
237	9434	10385
238	9476	10348
239	9518	10311
240	9557	10271
241	9594	10228
242	9633	10188
243	9684	10160
244	9724	10121
245	9764	10082
246	9802	10040
247	9832	9991
248	9869	9949
249	9916	9916
250	9965	9886
251	10011	9852
252	10056	9817
253	10098	9780
254	10143	9745
255	10179	9702
256	10222	9665
257	10273	9635
258	10318	9601
259	10364	9567
260	10425	9547
261	10503	9540
262	10539	9497
263	10581	9458
264	10628	9425
265	10676	9392
266	10712	9348
267	10757	9312
268	10798	9273
269	10844	9237
270	10890	9202
271	10940	9170
272	10985	9134
273	11021	9091
274	11059	9048
275	11104	9012
276	11161	8985
277	11213	8954
278	11265	8923
279	11309	8886
280	11356	8850
281	11395	8809
282	11434	8767
283	11479	8730
284	11520	8690
285	11561	8650
286	11603	8611
287	11638	8567
288	11682	8529
289	11728	8492
290	11768	8452
291	11810	8413
292	11860	8379
293	11909	8344
294	11961	8312
295	12011	8278
296	12059	8242
297	12103	8204
298	12145	8164
299	12189	8126
300	12235	8088
301	12275	8047
302	12310	8004
303	12347	7960
304	12383	7917
305	12424	7876
306	12463	7835
