title,author,genre,publisher,price,rating,reviews_count,sales_rank,year,store,discount_percent,delivery_cost,demand_score,popularity_score
Essential AI Trilogy,Robert Kiyosaki,Fantasy,Penguin Random House,17.48,5.0,1858,1028,2018,Snapdeal,9.986507248130675,40,5.982740855229263,100.3716
Advanced Meditation Saga,Alex Michaelides,Fiction,Amazon KDP,13.83,4.6,2198,2206,2011,Crossword,41.83367530469489,50,7.077537351880474,92.4396
Forgotten Fitness Guide,James Clear,Mystery,Macmillan,12.65,4.3,1011,621,2023,BooksWagon,39.79585448248513,50,3.2554095826893352,86.2022
Advanced War Masterclass,J.K. Rowling,Biography,Amazon KDP,16.21,3.9,20,8521,2020,Crossword,25.753522285042884,40,0.06439979392065945,78.004
Machine Learning Collection,Agatha Christie,Fiction,HarperCollins,9.94,3.5,227,1776,2021,Crossword,28.65101742979717,0,0.7309376609994849,70.0454
Past Design Framework,Robert Kiyosaki,Romance,Amazon KDP,22.33,3.5,1021,1047,2012,Flipkart,20.960108154805212,0,3.2876094796496647,70.2042
Future History Bible,Malcolm Gladwell,Mystery,HarperCollins,17.28,4.4,165,1915,2011,BooksWagon,7.190465552881253,75,0.5312982998454405,88.033
Dark Love Chronicles,Yuval Noah Harari,Health,HarperCollins,12.0,5.0,241,2264,2022,BooksWagon,18.407889665836038,0,0.7760175167439465,100.0482
Data Science Chronicles,Dale Carnegie,Technology,Macmillan,24.93,3.6,656,3466,2018,BooksWagon,37.114137943920454,0,2.11231324059763,72.1312
Dark Marketing Secrets,Yuval Noah Harari,Romance,Simon & Schuster,16.04,4.3,81,3246,2024,Crossword,5.185280920184114,40,0.2608191653786708,86.0162
Mystery Principles,Tim Ferriss,Fantasy,Penguin Random House,18.69,4.0,475,1871,2017,Snapdeal,18.339966867645767,40,1.529495105615662,80.095
Hidden Time Story,Malcolm Gladwell,Fiction,Indie Pub,7.61,4.7,224,2808,2016,BooksWagon,20.926747743637733,40,0.7212776919113859,94.0448
Leadership Workbook,Stephen King,Science,Macmillan,26.72,4.0,895,1544,2018,Crossword,26.495824117516914,75,2.8818907779495104,80.179
The Ultimate AI Story,Yuval Noah Harari,Technology,Simon & Schuster,26.62,4.7,2305,1216,2025,Flipkart,41.79422465651042,0,7.422076249356002,94.461
Forgotten Time Saga,J.K. Rowling,Fantasy,Amazon KDP,10.8,4.7,610,2282,2012,Snapdeal,18.853839774638452,0,1.9641937145801134,94.122
Secret Fitness System,Delia Owens,Science,Penguin Random House,22.6,3.6,153,2160,2013,Flipkart,18.87812807584911,0,0.4926584234930448,72.0306
Bright Fitness Saga,Simon Sinek,Fiction,Amazon KDP,19.06,4.7,717,1296,2015,Snapdeal,34.500049924389934,50,2.3087326120556413,94.1434
Gardening Story,J.K. Rowling,Biography,HarperCollins,16.81,5.0,532,2695,2019,Crossword,23.088717635592285,40,1.7130345182895417,100.1064
