title,author,genre,publisher,price,rating,reviews_count,sales_rank,year,title_len_char,title_len_word,title_has_Guide,title_has_Ultimate,title_has_Beginner,title_has_Advanced,title_has_Masterclass,title_has_Strategies,author_freq,publisher_freq,genre_target_price,author_target_price,is_success
Essential AI Trilogy,Robert Kiyosaki,fantasy,Penguin Random House,17.48,5.0,1858,1028,2018,20,3,0,0,0,0,0,0,52,111,16.82627906976744,21.901538461538465,1
Advanced Meditation Saga,Alex Michaelides,fiction,Amazon KDP,13.83,4.6,2198,2206,2011,24,3,0,0,0,1,0,0,48,110,25.9630303030303,20.53708333333333,0
Forgotten Fitness Guide,James Clear,mystery,Macmillan,12.65,4.3,1011,621,2023,23,3,1,0,0,0,0,0,43,122,18.75859649122807,20.353488372093025,1
Advanced War Masterclass,J.K. Rowling,biography,Amazon KDP,16.21,3.9,20,8521,2020,24,3,0,0,0,1,1,0,52,110,24.535342465753423,31.40346153846154,0
Machine Learning Collection,Agatha Christie,fiction,HarperCollins,9.94,3.5,227,1776,2021,27,3,0,0,0,0,0,0,39,135,25.9630303030303,17.696666666666665,0
Past Design Framework,Robert Kiyosaki,romance,Amazon KDP,22.33,3.5,1021,1047,2012,21,3,0,0,0,0,0,0,52,110,17.3478125,21.901538461538465,1
Future History Bible,Malcolm Gladwell,mystery,HarperCollins,17.28,4.4,165,1915,2011,20,3,0,0,0,0,0,0,44,135,18.75859649122807,20.788181818181815,0
Dark Love Chronicles,Yuval Noah Harari,health,HarperCollins,12.0,5.0,241,2264,2022,20,3,0,0,0,0,0,0,44,135,18.720967741935485,30.98318181818182,0
Data Science Chronicles,Dale Carnegie,technology,Macmillan,24.93,3.6,656,3466,2018,23,3,0,0,0,0,0,0,48,122,27.96157894736842,20.772291666666668,0
Dark Marketing Secrets,Yuval Noah Harari,romance,Simon & Schuster,16.04,4.3,81,3246,2024,22,3,0,0,0,0,0,0,44,109,17.3478125,30.98318181818182,0
Mystery Principles,Tim Ferriss,fantasy,Penguin Random House,18.69,4.0,475,1871,2017,18,2,0,0,0,0,0,0,50,111,16.82627906976744,17.877200000000002,0
Hidden Time Story,Malcolm Gladwell,fiction,Indie Pub,7.61,4.7,224,2808,2016,17,3,0,0,0,0,0,0,44,120,25.9630303030303,20.788181818181815,0
Leadership Workbook,Stephen King,science,Macmillan,26.72,4.0,895,1544,2018,19,2,0,0,0,0,0,0,66,122,34.48933333333333,27.875151515151515,0
The Ultimate AI Story,Yuval Noah Harari,technology,Simon & Schuster,26.62,4.7,2305,1216,2025,21,4,0,1,0,0,0,0,44,109,27.96157894736842,30.98318181818182,0
Forgotten Time Saga,J.K. Rowling,fantasy,Amazon KDP,10.8,4.7,610,2282,2012,19,3,0,0,0,0,0,0,52,110,16.82627906976744,31.40346153846154,0
Secret Fitness System,Delia Owens,science,Penguin Random House,22.6,3.6,153,2160,2013,21,3,0,0,0,0,0,0,59,111,34.48933333333333,21.622542372881355,0
Bright Fitness Saga,Simon Sinek,fiction,Amazon KDP,19.06,4.7,717,1296,2015,19,3,0,0,0,0,0,0,56,110,25.9630303030303,20.928392857142857,0
Gardening Story,J.K. Rowling,biography,HarperCollins,16.81,5.0,532,2695,2019,15,2,0,0,0,0,0,0,52,135,24.535342465753423,31.40346153846154,0
Complete Love Methods,J.K. Rowling,technology,Unknown Publisher,24.82,4.6,59,1230,2020,21,3,0,0,0,0,0,0,52,44,27.96157894736842,31.40346153846154,0
Lost Data Science Trilogy,Michelle Obama,self-help,Macmillan,15.44,3.2,1030,1063,2012,25,4,0,0,0,0,0,0,49,122,24.81764705882353,18.409795918367347,1
Business Journal,Stephen King,biography,Simon & Schuster,13.9,4.2,5573,786,2025,16,2,0,0,0,0,0,0,66,109,24.535342465753423,27.875151515151515,1
Dark Love Collection,Delia Owens,self-help,Macmillan,10.96,4.4,998,2502,2019,20,3,0,0,0,0,0,0,59,122,24.81764705882353,21.622542372881355,0
Beginner's Python Trilogy,George R.R. Martin,romance,Unknown Publisher,12.35,4.7,664,1659,2017,25,3,0,0,1,0,0,0,53,44,17.3478125,27.61679245283019,0
Dark Machine Learning Secrets,Alex Michaelides,self-help,Macmillan,11.49,3.5,293,2301,2010,29,4,0,0,0,0,0,0,48,122,24.81764705882353,20.53708333333333,0
Modern Money Strategies,Michelle Obama,fiction,Indie Pub,16.48,4.4,1057,950,2012,23,3,0,0,0,0,0,1,49,120,25.9630303030303,18.409795918367347,1
Gardening Masterclass,Stephen King,romance,O'Reilly Media,22.92,3.8,650,1091,2017,21,2,0,0,0,0,1,0,66,134,17.3478125,27.875151515151515,1
Past Machine Learning Masterclass,Neil Gaiman,fiction,Indie Pub,14.19,4.3,5148,1280,2023,33,4,0,0,0,0,1,0,50,120,25.9630303030303,19.3094,0
Advanced Marketing Collection,Agatha Christie,nonfiction,Unknown Publisher,16.29,4.2,71,2061,2013,29,3,0,0,0,1,0,0,39,44,17.289710144927536,17.696666666666665,0
Past Data Science Collection,Neil Gaiman,business,Simon & Schuster,25.3,4.4,818,1007,2018,28,4,0,0,0,0,0,0,50,109,26.626666666666665,19.3094,1
Secret Python Bible,Delia Owens,biography,HarperCollins,19.83,4.6,834,3755,2011,19,3,0,0,0,0,0,0,59,135,24.535342465753423,21.622542372881355,0
Advanced Mystery Handbook,Yuval Noah Harari,biography,Simon & Schuster,18.96,3.5,2106,1930,2023,25,3,0,0,0,1,0,0,44,109,24.535342465753423,30.98318181818182,0
Future Time Methods,Agatha Christie,business,Penguin Random House,27.93,3.9,348,1065,2022,19,3,0,0,0,0,0,0,39,111,26.626666666666665,17.696666666666665,1
Advanced Machine Learning Trilogy,Delia Owens,cooking,O'Reilly Media,30.5,4.2,84,2504,2014,33,4,0,0,0,1,0,0,59,134,17.460945945945944,21.622542372881355,0
Secret Business Chronicles,Tim Ferriss,nonfiction,Penguin Random House,9.69,5.0,237,1681,2011,26,3,0,0,0,0,0,0,50,111,17.289710144927536,17.877200000000002,0
Complete Meditation Workbook,Tara Westover,nonfiction,HarperCollins,11.08,3.6,982,2295,2015,28,3,0,0,0,0,0,0,46,135,17.289710144927536,18.106739130434782,0
Hidden Leadership Saga,Alex Michaelides,fiction,Macmillan,16.14,4.3,152,1313,2011,22,3,0,0,0,0,0,0,48,122,25.9630303030303,20.53708333333333,0
Hidden Cooking Methods,Brene Brown,technology,Macmillan,26.3,3.5,190,1523,2020,22,3,0,0,0,0,0,0,53,122,27.96157894736842,28.74641509433962,0
Forgotten AI Bible,Tim Ferriss,history,HarperCollins,22.61,4.4,718,1787,2010,18,3,0,0,0,0,0,0,50,135,17.616060606060607,17.877200000000002,0
Meditation Framework,Malcolm Gladwell,romance,Hachette,11.6,3.8,732,1829,2014,20,2,0,0,0,0,0,0,44,111,17.3478125,20.788181818181815,0
Future Business Guide,J.K. Rowling,science,O'Reilly Media,49.33,4.5,211,1439,2019,21,3,1,0,0,0,0,0,52,134,34.48933333333333,31.40346153846154,0
AI Masterclass,Delia Owens,fantasy,Hachette,10.13,3.8,2094,1521,2013,14,2,0,0,0,0,1,0,59,111,16.82627906976744,21.622542372881355,0
Advanced War Strategies,Delia Owens,science fiction,Simon & Schuster,19.82,5.0,1325,1716,2018,23,3,0,0,0,1,0,1,59,109,23.323882352941176,21.622542372881355,0
Data Science Journal,Brene Brown,fantasy,O'Reilly Media,28.77,3.8,143,2863,2018,20,3,0,0,0,0,0,0,53,134,16.82627906976744,28.74641509433962,0
Essential Fitness Chronicles,Brene Brown,health,Penguin Random House,14.61,4.6,749,1759,2010,28,3,0,0,0,0,0,0,53,111,18.720967741935485,28.74641509433962,0
Bright Cooking Trilogy,George R.R. Martin,science fiction,Amazon KDP,15.07,5.0,606,1264,2010,22,3,0,0,0,0,0,0,53,110,23.323882352941176,27.61679245283019,0
Modern Love Handbook,Dale Carnegie,nonfiction,Simon & Schuster,18.13,4.4,181,1891,2023,20,3,0,0,0,0,0,0,48,109,17.289710144927536,20.772291666666668,0
Secret Space Story,Malcolm Gladwell,technology,Macmillan,23.88,4.2,1031,1555,2013,18,3,0,0,0,0,0,0,44,122,27.96157894736842,20.788181818181815,0
